Course,Section,Time,Location,Enrollment,Classification,Day
ELEC 3310,T1,Mo 06:00PM - 06:50PM,"Rm 1009, LSK Bldg (80)",36,LSK Bldg,Mo
ELEC 3310,T2,Fr 10:00AM - 10:50AM,"Rm 2503, Lift 25-26 (87)",24,Lift 25-26,Fr
ELEC 3310,LA1,We 03:30PM - 05:20PM,"Rm 3115, Lift 19, 22",38,Lift 19,We
ELEC 3310,LA2,Mo 01:00PM - 02:50PM,"Rm 3115, Lift 19, 22",22,Lift 19,Mo
ELEC 3400,L1,MoWe 12:00PM - 01:20PM,Lecture Theater K (106),63,Lecture Theater K,MoWe
ELEC 3400,T1,Fr 12:00PM - 12:50PM,"Rm 1032, LSK Bldg (45)",40,LSK Bldg,Fr
ELEC 3400,T2,Mo 06:00PM - 06:50PM,"Rm 2407, Lift 17-18 (126)",23,Lift 17-18,Mo
ELEC 3400,LA1,Th 06:00PM - 07:50PM,"Rm 3111, Lift 19, 22",27,Lift 19,Th
ELEC 3400,LA2,Mo 04:00PM - 05:50PM,"Rm 3111, Lift 19, 22",27,Lift 19,Mo
ELEC 3400,LA3,Mo 01:30PM - 03:20PM,"Rm 3111, Lift 19, 22",9,Lift 19,Mo
ELEC 3500,L1,TuTh 10:30AM - 11:50AM,"Rm 4620, Lift 31-32 (126)",79,Lift 31-32,TuTh
ELEC 3500,LA1,Mo 03:00PM - 04:50PM,"Rm 3123A, Lift 22",21,Lift 22,Mo
ELEC 3500,LA2,Tu 01:30PM - 03:20PM,"Rm 3123A, Lift 22",20,Lift 22,Tu
ELEC 3500,LA3,Mo 12:00PM - 01:50PM,"Rm 3123A, Lift 22",15,Lift 22,Mo
ELEC 3500,LA4,Mo 09:30AM - 11:20AM,"Rm 3123A, Lift 22",19,Lift 22,Mo
ELEC 3500,LA5,We 07:00PM - 08:50PM,"Rm 3123A, Lift 22",4,Lift 22,We
ELEC 3810,L1,TuTh 01:30PM - 02:50PM,"Rm 4502, Lift 25-26 (60)",19,Lift 25-26,TuTh
ELEC 3810,T1,TBA,TBA,19,TBA,TBA
ELEC 3910,T01,We 06:00PM - 06:50PM,TBA,6,TBA,We
ELEC 3910,T02,We 06:00PM - 06:50PM,TBA,8,TBA,We
ELEC 3910,T03,We 06:00PM - 06:50PM,TBA,4,TBA,We
ELEC 3910,T04,We 06:00PM - 06:50PM,TBA,7,TBA,We
ELEC 3910,T05,We 06:00PM - 06:50PM,TBA,5,TBA,We
ELEC 3910,T06,We 06:00PM - 06:50PM,TBA,7,TBA,We
ELEC 3910,T07,We 06:00PM - 06:50PM,TBA,8,TBA,We
ELEC 3910,T08,We 06:00PM - 06:50PM,TBA,7,TBA,We
ELEC 3910,T09,We 06:00PM - 06:50PM,TBA,7,TBA,We
ELEC 3910,T10,We 06:00PM - 06:50PM,TBA,6,TBA,We
ELEC 3910,T11,We 06:00PM - 06:50PM,TBA,5,TBA,We
ELEC 3910,T12,We 06:00PM - 06:50PM,TBA,6,TBA,We
ELEC 3910,T13,We 06:00PM - 06:50PM,TBA,5,TBA,We
ELEC 3910,T14,We 06:00PM - 06:50PM,TBA,7,TBA,We
ELEC 3910,T15,We 06:00PM - 06:50PM,TBA,4,TBA,We
ELEC 3910,T16,We 06:00PM - 06:50PM,TBA,3,TBA,We
ELEC 3910,T17,We 06:00PM - 06:50PM,TBA,7,TBA,We
ELEC 3910,T18,We 06:00PM - 06:50PM,TBA,7,TBA,We
ELEC 3910,T19,We 06:00PM - 06:50PM,TBA,4,TBA,We
ELEC 3910,T20,We 06:00PM - 06:50PM,TBA,8,TBA,We
ELEC 3910,T21,We 06:00PM - 06:50PM,TBA,6,TBA,We
ELEC 3910,T22,We 06:00PM - 06:50PM,TBA,9,TBA,We
ELEC 3910,T23,We 06:00PM - 06:50PM,TBA,7,TBA,We
ELEC 3910,T24,We 06:00PM - 06:50PM,TBA,7,TBA,We
ELEC 3910,T25,We 06:00PM - 06:50PM,TBA,9,TBA,We
ELEC 4010O,L1,TuTh 09:00AM - 10:20AM,"Rm 5564, Lift 27-28 (30)",8,Lift 27-28,TuTh
ELEC 4010O,LA1,Tu 12:00PM - 02:50PM,"Rm 4225C, Lift 23, 24",8,Lift 23,Tu
ELEC 4110,L1,TuTh 12:00PM - 01:20PM,"Rm 5564, Lift 27-28 (30)",29,Lift 27-28,TuTh
ELEC 4110,T1,Fr 06:00PM - 06:50PM,"Rm 5506, Lift 25-26 (30)",29,Lift 25-26,Fr
ELEC 4220,L1,Tu 03:00PM - 04:50PM,"G003, CYT Bldg (30)",13,CYT Bldg,Tu
ELEC 4220,T1,Mo 10:30AM - 11:20AM,"Rm 5508, Lift 25-26 (30)",13,Lift 25-26,Mo
ELEC 4220,LA1,We 03:00PM - 04:50PM,"Rm 2133, Lift 19, 21, 22",13,Lift 19,We
ELEC 4240,L1,TuTh 12:00PM - 01:20PM,"Rm 2503, Lift 25-26 (87)",36,Lift 25-26,TuTh
ELEC 4240,LA1,Th 03:00PM - 03:50PM,Lecture Theater G (132),36,Lecture Theater G,Th
ELEC 4320,L1,Mo 09:00AM - 10:50AM,"Rm 4503, Lift 25-26 (64)",63,Lift 25-26,Mo
ELEC 4320,LA1,We 09:00AM - 11:50AM,"Rm 3115, Lift 19, 22",46,Lift 19,We
ELEC 4320,LA2,Tu 03:00PM - 05:50PM,"Rm 3115, Lift 19, 22",17,Lift 19,Tu
ELEC 4410,L1,We 01:30PM - 03:20PM,"Rm 6591, Lift 31-32 (88)",33,Lift 31-32,We
ELEC 4410,LA1,Th 12:00PM - 02:50PM,"Rm 4225C, Lift 23, 24",33,Lift 23,Th
ELEC 4420,L1,Mo 01:30PM - 02:50PM,"Rm 5506, Lift 25-26 (30)",26,Lift 25-26,Mo
ELEC 4420,L1,Fr 09:00AM - 10:20AM,"Rm 5506, Lift 25-26 (30)",26,Lift 25-26,Fr
ELEC 4420,T1,Mo 11:00AM - 11:50AM,"Rm 5506, Lift 25-26 (30)",26,Lift 25-26,Mo
ELEC 4620,L1,MoWe 09:00AM - 10:20AM,"Rm 1026, LSK Bldg (28)",7,LSK Bldg,MoWe
ELEC 4620,LA1,Tu 12:00PM - 02:50PM,"Rm 3111, Lift 19, 22",2,Lift 19,Tu
ELEC 4620,LA2,Mo 10:30AM - 01:20PM,"Rm 3111, Lift 19, 22",5,Lift 19,Mo
ELEC 4810,L1,MoWe 12:00PM - 01:20PM,"Rm 1410, Lift 25-26 (60)",23,Lift 25-26,MoWe
ELEC 4810,LA1,Mo 07:00PM - 08:50PM,"Rm 3111, Lift 19, 22",17,Lift 19,Mo
ELEC 4810,LA2,Tu 07:00PM - 08:50PM,"Rm 3111, Lift 19, 22",6,Lift 19,Tu
ELEC 4820,L1,TuTh 09:00AM - 10:20AM,"Rm 5619, Lift 31-32 (60)",11,Lift 31-32,TuTh
ELEC 4900,R1,TBA,TBA,138,TBA,TBA
ELEC 4901,R1,TBA,TBA,13,TBA,TBA
ELEC 4910,R1,TBA,TBA,1,TBA,TBA
ELEC 4940C,R1,TBA,TBA,12,TBA,TBA
ELEC 5010,L1,Fr 03:00PM - 05:50PM,"Rm 5566, Lift 27-28 (24)",10,Lift 27-28,Fr
ELEC 5010,LA1,Th 04:00PM - 04:50PM,TBA,10,TBA,Th
ELEC 5040,L1,Th 04:30PM - 07:20PM,"Rm 5564, Lift 27-28 (30)",19,Lift 27-28,Th
ELEC 5070,L1,We 03:00PM - 05:50PM,"Rm 4503, Lift 25-26 (64)",26,Lift 25-26,We
ELEC 5110,L1,Mo 07:00PM - 09:50PM,"Rm 2463, Lift 25-26 (42)",12,Lift 25-26,Mo
ELEC 5180,L1,Mo 03:00PM - 05:50PM,"Rm 5566, Lift 27-28 (24)",11,Lift 27-28,Mo
ELEC 5180,LA1,We 02:00PM - 04:50PM,"Rm 3110, Lift 19, 22",3,Lift 19,We
ELEC 5180,LA2,Th 02:00PM - 04:50PM,"Rm 3110, Lift 19, 22",8,Lift 19,Th
ELEC 5360,L1,Th 06:00PM - 08:50PM,"Rm 5566, Lift 27-28 (24)",17,Lift 27-28,Th
ELEC 5470,L1,Mo 06:00PM - 08:50PM,"Rm 1409, Lift 25-26 (60)",21,Lift 25-26,Mo
ELEC 6900A,R1,TBA,TBA,13,TBA,TBA
ELEC 6900F,R1,TBA,TBA,3,TBA,TBA
ELEC 6910A,L1,Fr 10:30AM - 01:20PM,"Rm 4503, Lift 25-26 (64)",39,Lift 25-26,Fr
ELEC 6910B,L1,Tu 03:00PM - 05:50PM,"Rm 4472, Lift 25-26 (30)",14,Lift 25-26,Tu
ELEC 6910C,L1,Mo 03:00PM - 05:50PM,"G003, CYT Bldg (30)",15,CYT Bldg,Mo
ELEC 6910X,L1,Fr 03:00PM - 05:50PM,"G001, CYT Bldg (24)",22,CYT Bldg,Fr
ELEC 6910Z,L1,We 01:30PM - 04:20PM,"Rm 5564, Lift 27-28 (30)",20,Lift 27-28,We
ELEC 6950A,L1,Tu 01:30PM - 02:50PM,"Rm 5583, Lift 29-30 (80)",55,Lift 29-30,Tu
ELEC 6950B,L1,Tu 01:30PM - 02:50PM,TBA,35,TBA,Tu
ELEC 6990,R1,TBA,TBA,27,TBA,TBA
ELEC 7990,R1,TBA,TBA,166,TBA,TBA
EMBA 5460,L1,TBA,TBA,39,TBA,TBA
EMBA 5740,L1,TBA,TBA,39,TBA,TBA
EMIA 2010A,T1,Fr 06:00PM - 06:50PM,Lecture Theater A (401),199,Lecture Theater A,Fr
EMIA 2010A,T2,TBA,TBA,66,TBA,TBA
EMIA 2010B,T1,Fr 06:00PM - 06:50PM,"Rm 4502, Lift 25-26 (60)",32,Lift 25-26,Fr
EMIA 2010B,T2,TBA,TBA,5,TBA,TBA
EMIA 2020,L1,Fr 09:00AM - 11:50AM,"Rm 1014, LSK Bldg (80)",10,LSK Bldg,Fr
EMIA 2020,L2,We 10:30AM - 01:20PM,"Rm 5620, Lift 31-32 (70)",17,Lift 31-32,We
EMIA 2020,L4,Tu 03:00PM - 05:50PM,"Rm 5620, Lift 31-32 (70)",21,Lift 31-32,Tu
EMIA 2020,L5,Mo 03:00PM - 05:50PM,"Rm 5620, Lift 31-32 (70)",31,Lift 31-32,Mo
EMIA 6500C,L1,Fr 02:00PM - 04:50PM,TBA,20,TBA,Fr
EMIA 6950A,R1,TBA,TBA,1,TBA,TBA
EMIA 6950G,R1,TBA,TBA,1,TBA,TBA
ENEG 2990,T1,Mo 12:00PM - 12:50PM,"Rm 5506, Lift 25-26 (30)",6,Lift 25-26,Mo
ENEG 3110,L1,MoWe 09:00AM - 10:20AM,"G009A, CYT Bldg (80)",19,CYT Bldg,MoWe
ENEG 3110,T1,Tu 04:30PM - 05:20PM,"Rm 1027, LSK Bldg (40)",19,LSK Bldg,Tu
ENEG 4320,L1,Mo 01:30PM - 02:50PM,"Rm 1409, Lift 25-26 (60)",25,Lift 25-26,Mo
ENEG 4320,L1,Fr 09:00AM - 10:20AM,"Rm 1409, Lift 25-26 (60)",25,Lift 25-26,Fr
ENEG 4920,T1,Tu 06:00PM - 06:50PM,TBA,11,TBA,Tu
ENEG 4980A,LA1,TBA,TBA,1,TBA,TBA
ENEG 4990,L1,Mo 04:30PM - 05:20PM,"Rm 5506, Lift 25-26 (30)",10,Lift 25-26,Mo
ENEG 5200,L1,Mo 07:00PM - 09:50PM,"Rm 2463, Lift 25-26 (42)",14,Lift 25-26,Mo
ENGG 1010,T1,We 06:00PM - 07:20PM,TBA,3,TBA,We
ENGG 1100,L1,Fr 01:30PM - 02:50PM,"Rm 4582, Lift 27-28 (66)",57,Lift 27-28,Fr
ENGG 1100,T1,Fr 03:00PM - 04:20PM,"Rm 4582, Lift 27-28 (66)",57,Lift 27-28,Fr
ENGG 1150,L1,Mo 04:30PM - 05:50PM,"Rm 2502, Lift 25-26 (120)",77,Lift 25-26,Mo
ENGG 1150,T1,Tu 01:30PM - 02:50PM,"Rm 5619, Lift 31-32 (60)",40,Lift 31-32,Tu
ENGG 1150,T2,Tu 10:30AM - 11:50AM,"Rm 5619, Lift 31-32 (60)",37,Lift 31-32,Tu
ENGG 1300,T1,Tu 01:30PM - 04:20PM,"Rm 4219, Lift 19",35,Lift 19,Tu
ENGG 1400,T1,Fr 09:00AM - 10:50AM,"G002, CYT Bldg (30)",6,CYT Bldg,Fr
ENGG 1400,T2,Mo 11:30AM - 01:20PM,"Rm 5560, Lift 27-28 (30)",10,Lift 27-28,Mo
ENGG 2010,T1,TBA,TBA,921,TBA,TBA
ENGG 2010,T2,TBA,TBA,727,TBA,TBA
ENGG 2900A,T1,Th 06:00PM - 07:50PM,TBA,5,TBA,Th
ENGG 4901,R1,TBA,TBA,1,TBA,TBA
ENGG 4902,R1,TBA,TBA,1,TBA,TBA
ENGG 4903,R1,TBA,TBA,1,TBA,TBA
ENGG 4904,R1,TBA,TBA,1,TBA,TBA
ENGG 6020A,L1,Fr 10:30AM - 12:20PM,TBA,29,TBA,Fr
ENGG 6020A,T1,Fr 12:30PM - 01:20PM,TBA,29,TBA,Fr
ENGG 6780,T1,TBA,TBA,850,TBA,TBA
ENTR 1001,L1,WeFr 01:30PM - 02:50PM,"Rm 5620, Lift 31-32 (70)",41,Lift 31-32,WeFr
ENTR 2010,T1,We 12:00PM - 12:50PM,"G001, CYT Bldg (24)",8,CYT Bldg,We
ENTR 3100,L1,Fr 03:00PM - 05:50PM,"Rm 5620, Lift 31-32 (70)",32,Lift 31-32,Fr
ENTR 4903W,LA1,TBA,TBA,4,TBA,TBA
ENVR 1150,L1,MoWe 10:30AM - 11:50AM,"Rm 2465, Lift 25-26 (122)",91,Lift 25-26,MoWe
ENVR 1811,LA1,TBA,TBA,23,TBA,TBA
ENVR 2001,L1,Tu 06:00PM - 07:20PM,"Rm 4621, Lift 31-32 (126)",30,Lift 31-32,Tu
ENVR 2010,L1,TuTh 09:00AM - 10:20AM,"Rm 2407, Lift 17-18 (126)",41,Lift 17-18,TuTh
ENVR 2020,L1,WeFr 01:30PM - 02:50PM,"Rm 6573, Lift 29-30 (88)",56,Lift 29-30,WeFr
ENVR 2030,L1,TuTh 10:30AM - 11:50AM,"Rm 4503, Lift 25-26 (64)",30,Lift 25-26,TuTh
ENVR 2080,L1,TuTh 01:30PM - 02:50PM,"Rm 6602, Lift 31-32 (60)",36,Lift 31-32,TuTh
ENVR 2090,LA1,Mo 01:30PM - 05:20PM,"G001, CYT Bldg (24)",14,CYT Bldg,Mo
ENVR 3001,L1,Tu 06:00PM - 07:20PM,"Rm 4621, Lift 31-32 (126)",29,Lift 31-32,Tu
ENVR 3110,L1,MoWe 12:00PM - 01:20PM,"Rm 4402, Lift 17-18",44,Lift 17-18,MoWe
ENVR 3220,L1,TuTh 03:00PM - 04:20PM,"Rm 5619, Lift 31-32 (60)",46,Lift 31-32,TuTh
ENVR 3420,L1,Th 07:00PM - 09:50PM,Lecture Theater H (72),45,Lecture Theater H,Th
ENVR 4001,L1,Tu 06:00PM - 07:20PM,"Rm 4621, Lift 31-32 (126)",27,Lift 31-32,Tu
ENVR 4470,L1,MoWe 09:00AM - 10:20AM,"Rm 2503, Lift 25-26 (87)",15,Lift 25-26,MoWe
ENVR 4980,T1,TBA,TBA,26,TBA,TBA
ENVR 5260,L1,Mo 07:00PM - 09:50PM,"Rm 4620, Lift 31-32 (126)",41,Lift 31-32,Mo
ENVR 5310,L1,Mo 03:00PM - 05:50PM,"Rm 4504, Lift 25-26 (54)",13,Lift 25-26,Mo
ENVR 5340,L1,Sa 09:30AM - 12:20PM,"Rm 2503, Lift 25-26 (87)",77,Lift 25-26,Sa
ENVR 5380,L1,Th 07:00PM - 09:50PM,"Rm 6591, Lift 31-32 (88)",67,Lift 31-32,Th
ENVR 5410,L1,Tu 03:00PM - 05:50PM,"Rm 5583, Lift 29-30 (80)",15,Lift 29-30,Tu
ENVR 6050,L1,Mo 07:00PM - 09:50PM,"Rm 2304, Lift 17-18 (76)",26,Lift 17-18,Mo
ENVR 6100D,R1,TBA,TBA,1,TBA,TBA
ENVR 6100E,R1,TBA,TBA,1,TBA,TBA
ENVR 6770,T1,TBA,TBA,42,TBA,TBA
ENVR 6990,R1,TBA,TBA,23,TBA,TBA
ENVR 7990,R1,TBA,TBA,68,TBA,TBA
ENVS 5111,L1,Mo 06:30PM - 09:20PM,"Rm 6591, Lift 31-32 (88)",43,Lift 31-32,Mo
ENVS 5112,L1,We 06:30PM - 09:20PM,"Rm 2303, Lift 17-18 (91)",39,Lift 17-18,We
ENVS 5113,L1,Tu 06:30PM - 09:20PM,"Rm 6573, Lift 29-30 (88)",27,Lift 29-30,Tu
ENVS 5114,L1,Th 06:30PM - 09:20PM,"Rm 6573, Lift 29-30 (88)",51,Lift 29-30,Th
ENVS 5115,L1,Fr 06:30PM - 09:20PM,"Rm 6573, Lift 29-30 (88)",43,Lift 29-30,Fr
ENVS 6111A,R1,TBA,TBA,2,TBA,TBA
ENVS 6111B,R1,TBA,TBA,14,TBA,TBA
EOAS 6990,R1,TBA,TBA,1,TBA,TBA
EOAS 7990,R1,TBA,TBA,4,TBA,TBA
EVNG 6050A,T1,Mo 10:30AM - 11:20AM,"Rm 5560, Lift 27-28 (30)",12,Lift 27-28,Mo
EVNG 6990,R1,TBA,TBA,4,TBA,TBA
EVNG 7990,R1,TBA,TBA,8,TBA,TBA
EVSM 5220,L1,We 07:00PM - 09:50PM,"Rm 6602, Lift 31-32 (60)",25,Lift 31-32,We
EVSM 5230,L1,Tu 07:00PM - 09:50PM,"Rm 4620, Lift 31-32 (126)",100,Lift 31-32,Tu
EVSM 5240,L1,Fr 07:00PM - 09:50PM,"Rm 4402, Lift 17-18",33,Lift 17-18,Fr
EVSM 6950A,R1,TBA,TBA,27,TBA,TBA
EVSM 6950B,R1,TBA,TBA,14,TBA,TBA
FINA 1303,L1,WeFr 04:30PM - 05:50PM,"G012, LSK Bldg (199)",92,LSK Bldg,WeFr
FINA 2203,L1,MoWe 09:00AM - 10:20AM,"Rm 1014, LSK Bldg (80)",69,LSK Bldg,MoWe
FINA 2203,L2,WeFr 01:30PM - 02:50PM,"Rm 1010, LSK Bldg (80)",70,LSK Bldg,WeFr
FINA 2303,L1,Mo 04:30PM - 05:50PM,"Rm 1014, LSK Bldg (80)",70,LSK Bldg,Mo
FINA 2303,L1,Fr 12:00PM - 01:20PM,"Rm 1014, LSK Bldg (80)",70,LSK Bldg,Fr
FINA 2303,L2,TuTh 09:00AM - 10:20AM,"Rm 6573, Lift 29-30 (88)",70,Lift 29-30,TuTh
FINA 2303,L3,TuTh 04:30PM - 05:50PM,"Rm 1009, LSK Bldg (80)",70,LSK Bldg,TuTh
FINA 2303,L4,TuTh 10:30AM - 11:50AM,"Rm 6573, Lift 29-30 (88)",70,Lift 29-30,TuTh
FINA 2303,L5,TuTh 03:00PM - 04:20PM,Lecture Theater K (106),61,Lecture Theater K,TuTh
FINA 2303,L6,MoWe 09:00AM - 10:20AM,"Rm 2406, Lift 17-18 (76)",59,Lift 17-18,MoWe
FINA 2303,L7,TuTh 12:00PM - 01:20PM,"Rm 2406, Lift 17-18 (76)",68,Lift 17-18,TuTh
FINA 2303,L8,MoWe 10:30AM - 11:50AM,"Rm 2406, Lift 17-18 (76)",69,Lift 17-18,MoWe
FINA 3001,L1,TBA,TBA,284,TBA,TBA
FINA 3103,L1,TuTh 04:30PM - 05:50PM,"Rm 1001, LSK Bldg (70)",60,LSK Bldg,TuTh
FINA 3103,L2,TuTh 09:00AM - 10:20AM,"Rm 2504, Lift 25-26 (84)",52,Lift 25-26,TuTh
FINA 3103,L3,WeFr 03:00PM - 04:20PM,"Rm 1007, LSK Bldg (80)",63,LSK Bldg,WeFr
FINA 3103,L4,WeFr 01:30PM - 02:50PM,"Rm 1007, LSK Bldg (80)",65,LSK Bldg,WeFr
FINA 3203,L1,MoWe 09:00AM - 10:20AM,"Rm 1011, LSK Bldg (80)",67,LSK Bldg,MoWe
FINA 3303,L1,MoWe 12:00PM - 01:20PM,"Rm 1034, LSK Bldg (80)",70,LSK Bldg,MoWe
FINA 3303,L2,Mo 03:00PM - 04:20PM,"Rm 2404, Lift 17-18 (81)",72,Lift 17-18,Mo
FINA 3303,L2,Fr 10:30AM - 11:50AM,"Rm 2404, Lift 17-18 (81)",72,Lift 17-18,Fr
FINA 3303,L3,Mo 04:30PM - 05:50PM,Lecture Theater H (72),66,Lecture Theater H,Mo
FINA 3303,L3,Fr 12:00PM - 01:20PM,Lecture Theater H (72),66,Lecture Theater H,Fr
FINA 3810,LA1,TBA,TBA,122,TBA,TBA
FINA 4103,L1,WeFr 04:30PM - 05:50PM,"Rm 1007, LSK Bldg (80)",69,LSK Bldg,WeFr
FINA 4303,L1,WeFr 01:30PM - 02:50PM,"Rm 1009, LSK Bldg (80)",57,LSK Bldg,WeFr
FINA 4413,L1,Mo 03:00PM - 04:20PM,"Rm 1005, LSK Bldg (70)",70,LSK Bldg,Mo
FINA 4413,L1,Fr 10:30AM - 11:50AM,"Rm 1005, LSK Bldg (70)",70,LSK Bldg,Fr
FINA 4713,L1,Mo 01:30PM - 04:20PM,"Rm 1014, LSK Bldg (80)",55,LSK Bldg,Mo
FINA 4919A,R1,TBA,TBA,1,TBA,TBA
FINA 5120,L1,"31-AUG-2023 - 12-OCT-2023
Th 09:30AM - 12:50PM","G001, LSK Bldg (70)",59,LSK Bldg,Th
FINA 5120,L2,"01-SEP-2023 - 13-OCT-2023
Fr 09:30AM - 12:50PM","G001, LSK Bldg (70)",23,LSK Bldg,Fr
FINA 5120,L3,"02-SEP-2023 - 14-OCT-2023
Sa 09:00AM - 12:20PM","G003, LSK Bldg (70)",64,LSK Bldg,Sa
FINA 5120,L4,"29-AUG-2023 - 19-SEP-2023
Tu 09:30AM - 12:50PM","Rm 2003, LSK Bldg",42,LSK Bldg,Tu
FINA 5120,L5,"30-AUG-2023 - 18-OCT-2023
We 07:00PM - 10:20PM","G001, LSK Bldg (70)",60,LSK Bldg,We
FINA 5120,L6,"28-OCT-2023 - 16-DEC-2023
Sa 09:00AM - 10:50AM",TBA,42,TBA,Sa
FINA 5120,L7,"31-OCT-2023 - 12-DEC-2023
Tu 09:30AM - 12:50PM","G001, LSK Bldg (70)",58,LSK Bldg,Tu
FINA 5120,L8,"31-OCT-2023 - 12-DEC-2023
Tu 02:30PM - 05:50PM","G001, LSK Bldg (70)",39,LSK Bldg,Tu
FINA 5140,L2,"01-NOV-2023 - 20-DEC-2023
We 07:00PM - 10:20PM","G003, LSK Bldg (70)",34,LSK Bldg,We
FINA 5190,L1,"31-OCT-2023 - 19-DEC-2023
Tu 02:00PM - 05:20PM","G003, LSK Bldg (70)",55,LSK Bldg,Tu
FINA 5210,L1,"30-AUG-2023 - 11-OCT-2023
We 09:30AM - 12:50PM","G003, LSK Bldg (70)",31,LSK Bldg,We
FINA 5210,L2,"31-AUG-2023 - 12-OCT-2023
Th 02:00PM - 05:20PM","G003, LSK Bldg (70)",51,LSK Bldg,Th
FINA 5210,L3,"02-SEP-2023 - 14-OCT-2023
Sa 02:00PM - 05:20PM","G003, LSK Bldg (70)",67,LSK Bldg,Sa
FINA 5210,L4,"02-SEP-2023 - 02-SEP-2023
Sa 09:30AM - 12:50PM","G012, LSK Bldg (199)",38,LSK Bldg,Sa
FINA 5210,L5,"28-OCT-2023 - 16-DEC-2023
Sa 09:30AM - 12:50PM","Rm 1007, LSK Bldg (80)",68,LSK Bldg,Sa
FINA 5220,L1,"01-NOV-2023 - 13-DEC-2023
We 09:30AM - 12:50PM","G003, LSK Bldg (70)",47,LSK Bldg,We
FINA 5220,L2,"02-NOV-2023 - 02-NOV-2023
Th 09:30AM - 12:50PM","G003, LSK Bldg (70)",30,LSK Bldg,Th
FINA 5230,L1,"31-OCT-2023 - 19-DEC-2023
Tu 09:30AM - 12:50PM","G003, LSK Bldg (70)",67,LSK Bldg,Tu
FINA 5240,L1,"29-AUG-2023 - 17-OCT-2023
Tu 07:00PM - 10:20PM","G003, LSK Bldg (70)",64,LSK Bldg,Tu
FINA 5250,L1,"04-SEP-2023 - 16-OCT-2023
Mo 09:00AM - 12:20PM","G003, LSK Bldg (70)",36,LSK Bldg,Mo
FINA 5250,L2,"04-SEP-2023 - 16-OCT-2023
Mo 02:00PM - 05:20PM","G003, LSK Bldg (70)",57,LSK Bldg,Mo
FINA 5250,L3,"04-SEP-2023 - 16-OCT-2023
Mo 07:00PM - 10:20PM","G003, LSK Bldg (70)",51,LSK Bldg,Mo
FINA 5290,L1,"01-NOV-2023 - 13-DEC-2023
We 02:00PM - 05:20PM","G003, LSK Bldg (70)",55,LSK Bldg,We
FINA 5290,L2,"03-NOV-2023 - 15-DEC-2023
Fr 02:00PM - 05:20PM","G003, LSK Bldg (70)",48,LSK Bldg,Fr
FINA 5290,L3,"04-NOV-2023 - 23-DEC-2023
Sa 09:00AM - 12:20PM","Rm 1001, LSK Bldg (70)",43,LSK Bldg,Sa
FINA 5360,L1,"30-OCT-2023 - 11-DEC-2023
Mo 09:30AM - 12:50PM","G003, LSK Bldg (70)",39,LSK Bldg,Mo
FINA 5360,L2,"30-OCT-2023 - 11-DEC-2023
Mo 02:00PM - 05:20PM","G003, LSK Bldg (70)",55,LSK Bldg,Mo
FINA 5360,L3,"30-OCT-2023 - 11-DEC-2023
Mo 07:00PM - 10:20PM","G003, LSK Bldg (70)",56,LSK Bldg,Mo
FINA 5520,L1,"31-AUG-2023 - 19-OCT-2023
Th 07:00PM - 10:20PM","G003, LSK Bldg (70)",22,LSK Bldg,Th
FINA 5520,L2,"03-NOV-2023 - 22-DEC-2023
Fr 07:00PM - 10:20PM","G003, LSK Bldg (70)",43,LSK Bldg,Fr
FINA 5680,L1,"02-NOV-2023 - 02-NOV-2023
Th 07:00PM - 10:20PM","Rm 1003, LSK Bldg (70)",39,LSK Bldg,Th
FINA 6910K,L1,"30-AUG-2023 - 11-OCT-2023
We 07:00PM - 10:20PM","G003, LSK Bldg (70)",56,LSK Bldg,We
FINA 6910L,L1,"02-NOV-2023 - 21-DEC-2023
Th 02:00PM - 05:20PM","G010, LSK Bldg",36,LSK Bldg,Th
FINA 7900C,L1,"01-SEP-2023 - 28-SEP-2023
Th 12:00PM - 02:50PM","Rm 1026, LSK Bldg (28)",7,LSK Bldg,Th
FINA 7900D,L1,Tu 12:00PM - 02:50PM,"Rm 1026, LSK Bldg (28)",6,LSK Bldg,Tu
FINA 7980Y,T1,Fr 10:30AM - 12:20PM,"Rm 1003, LSK Bldg (70)",20,LSK Bldg,Fr
FINA 7990,R1,TBA,TBA,1,TBA,TBA
FTEC 7990,R1,TBA,TBA,4,TBA,TBA
GBUS 1000,T1,TBA,TBA,164,TBA,TBA
GBUS 2030,L1,Mo 02:00PM - 03:50PM,"Rm 1001, LSK Bldg (70)",40,LSK Bldg,Mo
GBUS 2040,R1,TBA,TBA,30,TBA,TBA
GBUS 3030,L1,TuTh 12:00PM - 01:50PM,"Rm 1005, LSK Bldg (70)",14,LSK Bldg,TuTh
GBUS 4000E,L1,We 02:00PM - 03:50PM,"Rm 1005, LSK Bldg (70)",41,LSK Bldg,We
GBUS 4910,L1,Th 06:00PM - 07:20PM,"G001, LSK Bldg (70)",25,LSK Bldg,Th
GFIN 5020,L1,TBA,TBA,32,TBA,TBA
GFIN 5200,L1,TBA,TBA,32,TBA,TBA
GFIN 6980,R1,TBA,TBA,17,TBA,TBA
GNED 2510,T1,Fr 03:00PM - 04:50PM,"Rm 1033, LSK Bldg (51)",28,LSK Bldg,Fr
GNED 2510,T2,We 05:00PM - 06:50PM,"Rm 4620, Lift 31-32 (126)",32,Lift 31-32,We
HLTH 1010,R1,TBA,TBA,20,TBA,TBA
HMAW 1905A,T01,Tu 09:00AM - 10:20AM,TBA,24,TBA,Tu
