Course,Section,Time,Location,Enrollment,Classification,Day
ACCT 5160,L1,"29-AUG-2023 - 10-OCT-2023
Tu 09:00AM - 12:20PM","Rm 6602, Lift 31-32 (60)",53,Lift 31-32,Tu
ACCT 5160,L2,"29-AUG-2023 - 10-OCT-2023
Tu 03:00PM - 06:20PM","G001, LSK Bldg (70)",43,LSK Bldg,Tu
ACCT 5170,L1,"30-OCT-2023 - 18-DEC-2023
Mo 09:30AM - 12:50PM","G001, LSK Bldg (70)",39,LSK Bldg,Mo
ACCT 5170,L2,"30-OCT-2023 - 11-DEC-2023
Mo 02:30PM - 05:50PM","G001, LSK Bldg (70)",60,LSK Bldg,Mo
ACCT 5210,L1,"02-NOV-2023 - 21-DEC-2023
Th 09:30AM - 12:50PM","G001, LSK Bldg (70)",54,LSK Bldg,Th
ACCT 5210,L2,"02-NOV-2023 - 14-DEC-2023
Th 02:30PM - 05:50PM","G001, LSK Bldg (70)",45,LSK Bldg,Th
ACCT 5210,L3,"30-OCT-2023 - 18-DEC-2023
Mo 09:30AM - 12:50PM","Rm 2001, LSK Bldg",54,LSK Bldg,Mo
ACCT 5210,L4,"30-OCT-2023 - 11-DEC-2023
Mo 02:00PM - 05:20PM","Rm 2001, LSK Bldg",56,LSK Bldg,Mo
ACCT 5220,L1,"01-NOV-2023 - 20-DEC-2023
We 09:30AM - 12:50PM","G001, LSK Bldg (70)",45,LSK Bldg,We
ACCT 5410,L1,"28-AUG-2023 - 25-SEP-2023
Mo 09:30AM - 12:50PM","G001, LSK Bldg (70)",57,LSK Bldg,Mo
ACCT 5410,L2,"28-AUG-2023 - 04-SEP-2023
Mo 09:30AM - 12:50PM",TBA,24,TBA,Mo
ACCT 5630,L1,"03-NOV-2023 - 15-DEC-2023
Fr 09:00AM - 12:20PM","Rm 1034, LSK Bldg (80)",55,LSK Bldg,Fr
ACCT 5630,L2,"03-NOV-2023 - 15-DEC-2023
Fr 02:30PM - 05:50PM","G001, LSK Bldg (70)",15,LSK Bldg,Fr
ACCT 5710,L1,"30-AUG-2023 - 11-OCT-2023
We 09:30AM - 12:50PM","G001, LSK Bldg (70)",54,LSK Bldg,We
